ansatz,variant,n_qubits,depth,n_seeds_sqrtQ_audit,n_seeds_R_audit,s_R_median,s_A_median,s_RA_cov_median,s_cov_median,sum_check_median,s_G_within_R_median,s_nu_within_R_median,s_Gnu_cov_within_R_median,sum_check_R_median
hea,lso_grid,4,4,30,30,0.445071863769489,0.13299274701609792,0.4212776970324882,0.4212776970324882,1.0,0.7633378394910582,0.03213907428239027,0.19952349079361614,1.0
hea,lso_grid,4,6,30,30,0.4140241773545485,0.14602912632256346,0.42847776303464746,0.42847776303464746,1.0,0.8231078403096039,0.01541862161512125,0.16224137925440899,1.0
hea,lso_grid,4,8,30,30,0.4064659297270018,0.15011528993799517,0.4364582142923912,0.4364582142923912,1.0,0.869676618849923,0.009870457219204752,0.1218055077055531,1.0
hea,lso_grid,6,4,30,30,0.6614381440134738,0.0991713835743426,0.282869199228553,0.282869199228553,1.0,0.6269989761198816,0.08106092887234342,0.29279936550586394,1.0
hea,lso_grid,6,6,30,30,0.4662183357466648,0.13148541297900906,0.39430797175445276,0.39430797175445276,1.0,0.6217299748348624,0.06832398506052625,0.3098893852211734,1.0
hea,lso_grid,6,8,30,30,0.432441469517172,0.1473696805725147,0.42830759068723423,0.42830759068723423,1.0,0.6596859192770681,0.05591887213329451,0.285291966212806,1.0
hea,lso_grid,8,4,30,30,0.7845577541929718,0.08149186091080804,0.1465053264930993,0.1465053264930993,1.0,0.5872010355748197,0.11023460810082586,0.3032379573483066,1.0
hea,lso_grid,8,6,30,30,0.6405818078568241,0.17930594160942503,0.23200535377154624,0.23200535377154624,1.0,0.5135802211213927,0.18972761500403407,0.26688271006460196,1.0
hea,lso_grid,8,8,30,30,0.419290985958138,0.16562575611081762,0.42051907657288107,0.42051907657288107,1.0,0.6519132646943677,0.08528274785856188,0.2506068017728432,1.0
hea,lso_grid,10,4,30,30,0.8622253552810973,0.10179662211138849,0.05054285751587303,0.05054285751587303,1.0,0.5926780404212625,0.08799179204402394,0.29944619001482176,1.0
hea,lso_grid,10,6,30,30,0.5171376415963944,0.3466533430683288,0.22865319976523352,0.22865319976523352,1.0,0.5943528498705981,0.2965782780879944,0.18691583190120337,1.0
hea,lso_grid,10,8,30,30,0.2604703267647346,0.28959344209484883,0.4405904605888403,0.4405904605888403,1.0,1.1160061693982282,0.16564175100716894,-0.24317474861244348,1.0
hea,lso_pcgrad,4,4,30,30,0.41510160602750346,0.13942848810339814,0.4440547627263752,0.4440547627263752,1.0,0.7615293611429006,0.03214567113544951,0.20064326412818143,1.0
hea,lso_pcgrad,4,6,30,30,0.38620957689798585,0.15189263482063567,0.4643537705527472,0.4643537705527472,1.0,0.8231102845344875,0.015277049666624524,0.16257169481182232,1.0
hea,lso_pcgrad,4,8,30,30,0.34242094596757644,0.18031225391214578,0.4759924756542216,0.4759924756542216,1.0,0.8676123358524943,0.009717866061737801,0.12409010721735626,1.0
hea,lso_pcgrad,6,4,30,30,0.6528258804403835,0.09397974925478378,0.2844587002556631,0.2844587002556631,1.0,0.6250136888671773,0.07878342468192326,0.2956892997291859,1.0
hea,lso_pcgrad,6,6,30,30,0.4538392143508979,0.13009741368443792,0.4186510892123544,0.4186510892123544,1.0,0.6189765820488713,0.06783519274672675,0.3128612918232609,1.0
hea,lso_pcgrad,6,8,30,30,0.42453176845418317,0.13209207767027753,0.44632823742894245,0.44632823742894245,1.0,0.6593441237631287,0.05394646125032411,0.28706921628783705,1.0
hea,lso_pcgrad,8,4,30,30,0.7595672860152832,0.07312692500992735,0.16812732942601882,0.16812732942601882,1.0,0.5876656637616506,0.11071416167743878,0.3070628044767838,1.0
hea,lso_pcgrad,8,6,30,30,0.6252054327824016,0.16732600125461514,0.26014607570139237,0.26014607570139237,1.0,0.5114375497974663,0.18532089741392588,0.26667223981745203,1.0
hea,lso_pcgrad,8,8,30,30,0.40583655143076947,0.16235065717048397,0.4251159148241634,0.4251159148241634,1.0,0.6532922293736445,0.08474787722883764,0.2552547874404896,1.0
hea,lso_pcgrad,10,4,30,30,0.8600084671787007,0.08557146459926543,0.0690846439869435,0.0690846439869435,1.0,0.5920170832715533,0.08585682868364183,0.29988346928663817,1.0
hea,lso_pcgrad,10,6,30,30,0.49243005498848474,0.3136466241225702,0.2569288941626025,0.2569288941626025,1.0,0.5883658222139552,0.2966868626916999,0.18995308453479398,1.0
hea,lso_pcgrad,10,8,30,30,0.2604703267647346,0.2882849280318024,0.44642461236032627,0.44642461236032627,1.0,1.1160061693982282,0.16579900011744392,-0.24391740654399663,1.0
hea,pcgrad,4,4,30,30,0.1364221663652782,0.5159210780308148,0.36142214945928847,0.36142214945928847,0.9999999999999998,0.6642371642319436,0.70304468958637,-0.5545851153604406,1.0
hea,pcgrad,4,6,30,30,0.15301631162232737,0.5550256200563775,0.28103451679820457,0.28103451679820457,1.0,0.962488083876035,0.6680154476577556,-0.6789100399220126,1.0
hea,pcgrad,4,8,30,30,0.2082611010530958,0.5682892938217374,0.2715914759896377,0.2715914759896377,1.0,1.3240942677433236,0.8432894036938631,-1.0502571826092348,0.9999999999999998
hea,pcgrad,6,4,30,30,0.17493911898747472,0.6135206747296735,0.20812695097379796,0.20812695097379796,1.0,1.4202003730534145,2.071743384157319,-2.4575570151781436,1.0
hea,pcgrad,6,6,30,30,0.17033092451282753,0.44937024136501147,0.39399658213981287,0.39399658213981287,1.0,1.0575990529636738,0.5507414002423345,-0.7360666792842893,1.0
hea,pcgrad,6,8,30,30,0.1337990906774445,0.46569540201099724,0.4117428433047524,0.4117428433047524,1.0,1.127592962096874,0.6318719305003029,-0.6762212211164484,1.0
hea,pcgrad,8,4,30,30,0.22916640841557775,0.7854600289880144,0.08123512937741748,0.08123512937741748,1.0,1.8450954055622169,2.2662292825589923,-2.3963396416641016,1.0
hea,pcgrad,8,6,30,30,0.20210982672131575,0.362032064847185,0.4188438875803565,0.4188438875803565,1.0,1.658834329613781,0.4985846542183394,-1.509802847903157,1.0
hea,pcgrad,8,8,30,30,0.13830109506368554,0.40997989198306195,0.45047888179842976,0.45047888179842976,1.0,1.167557571578724,0.6141766110784288,-0.7397302262970546,1.0
hea,pcgrad,10,4,30,30,0.19841383282242753,0.6448606830839938,0.18624026770195196,0.18624026770195196,1.0,2.088382410979719,2.4126071125828137,-3.7337530942750266,1.0
hea,pcgrad,10,6,30,30,0.2894560811020572,0.2643093438646473,0.4416385010642233,0.4416385010642233,1.0,1.2934406318016398,0.24699345196775624,-0.6463624622545933,1.0
hea,pcgrad,10,8,30,30,0.13598854645823433,0.4064997755681995,0.4541882815481139,0.4541882815481139,1.0,2.207168682901065,0.6251290831690792,-1.8625853276165143,0.9999999999999998
hea,pcgrad_nm,4,4,30,30,0.1376191760796794,0.6425858374366569,0.2064432993939121,0.2064432993939121,1.0,0.9999999999999999,3.2081312284793727e-31,4.4579587753335976e-17,1.0
hea,pcgrad_nm,4,6,30,30,0.1480131045373703,0.7076742796371542,0.1639654556025407,0.1639654556025407,1.0,1.0,4.141333610217192e-31,-4.514748809185739e-17,1.0
hea,pcgrad_nm,4,8,30,30,0.13621473641184823,0.6206768354731178,0.21956861842741493,0.21956861842741493,1.0,1.0,6.775036518447531e-31,-4.443710343251172e-17,1.0
hea,pcgrad_nm,6,4,30,30,0.28240889548922016,0.5373671976876437,0.18836806152072444,0.18836806152072444,1.0,1.0,4.2641138890442145e-31,5.966330634222609e-18,1.0
hea,pcgrad_nm,6,6,30,30,0.20298006338098268,0.43779120393094356,0.36873001009854334,0.36873001009854334,1.0,1.0,6.697741456141483e-31,2.671640486886306e-17,1.0
hea,pcgrad_nm,6,8,30,30,0.1295628919363213,0.5781055202874432,0.2756860264029898,0.2756860264029898,1.0,1.0,3.1723871697333532e-31,3.0718000953852426e-17,1.0
hea,pcgrad_nm,8,4,30,30,0.28413365554353165,0.4367820564585587,0.262733320978339,0.262733320978339,1.0,1.0,7.025302747217829e-31,-3.8917480753493026e-17,1.0
hea,pcgrad_nm,8,6,30,30,0.2774180764797237,0.2818543852936836,0.4455107089257617,0.4455107089257617,1.0,1.0,4.345953517971342e-31,-1.7480632639150996e-17,1.0
hea,pcgrad_nm,8,8,30,30,0.23090825312454072,0.29266884423105266,0.47959476750561475,0.47959476750561475,1.0,1.0,2.7245875724913095e-31,4.55666676950334e-18,1.0
