ansatz,variant,statistic,cells_total,cells_observed,cells_estimable,cells_material_positive,cells_material_negative,cells_same_direction,direction,reproducible
hea,lso_grid,rho_C,12,12,11,0,0,0,,False
hea,lso_grid,rho_cos,12,12,11,5,0,5,+,False
hea,lso_grid,rho_nu,12,12,11,8,0,8,+,False
hea,lso_pcgrad,rho_C,12,12,6,1,0,1,+,False
hea,lso_pcgrad,rho_cos,12,12,6,5,0,5,+,False
hea,lso_pcgrad,rho_nu,12,12,6,6,0,6,+,False
hea,pcgrad,rho_C,12,12,9,0,5,5,-,False
hea,pcgrad,rho_cos,12,12,9,9,0,9,+,True
hea,pcgrad,rho_nu,12,12,9,2,4,4,-,False
hea,pcgrad_nm,rho_C,12,12,10,0,3,3,-,False
hea,pcgrad_nm,rho_cos,12,12,10,10,0,10,+,True
hea,pcgrad_nm,rho_nu,12,12,0,0,0,0,,False
hea,vanilla,rho_C,12,12,12,0,1,1,-,False
hea,vanilla,rho_C_vanilla_ref,12,12,12,0,1,1,-,False
hea,vanilla,rho_cos,12,12,0,0,0,0,,False
hea,vanilla,rho_nu,12,12,0,0,0,0,,False
hea,vanilla_ls_nm,rho_C,12,12,12,0,1,1,-,False
hea,vanilla_ls_nm,rho_cos,12,12,0,0,0,0,,False
hea,vanilla_ls_nm,rho_nu,12,12,12,6,0,6,+,False
hva,lso_grid,rho_C,12,12,12,0,0,0,,False
hva,lso_grid,rho_cos,12,12,12,0,0,0,,False
hva,lso_grid,rho_nu,12,12,12,4,0,4,+,False
hva,lso_pcgrad,rho_C,12,12,0,0,0,0,,False
hva,lso_pcgrad,rho_cos,12,12,0,0,0,0,,False
hva,lso_pcgrad,rho_nu,12,12,0,0,0,0,,False
hva,pcgrad,rho_C,12,12,12,2,0,2,+,False
hva,pcgrad,rho_cos,12,12,12,12,0,12,+,True
hva,pcgrad,rho_nu,12,12,12,0,9,9,-,True
hva,pcgrad_nm,rho_C,12,12,12,0,1,1,-,False
hva,pcgrad_nm,rho_cos,12,12,12,12,0,12,+,True
hva,pcgrad_nm,rho_nu,12,12,0,0,0,0,,False
hva,vanilla,rho_C,12,12,12,0,0,0,,False
hva,vanilla,rho_C_vanilla_ref,12,12,12,0,0,0,,False
hva,vanilla,rho_cos,12,12,0,0,0,0,,False
hva,vanilla,rho_nu,12,12,0,0,0,0,,False
hva,vanilla_ls_nm,rho_C,12,12,11,0,0,0,,False
hva,vanilla_ls_nm,rho_cos,12,12,0,0,0,0,,False
hva,vanilla_ls_nm,rho_nu,12,12,11,0,0,0,,False
