ansatz,variant,n_qubits,depth,rho_bar,s_nu_within_R_median,s_G_within_R_median,nu_over_G
hea,lso_grid,4,4,0.1490649536847374,0.0321390742823902,0.7633378394910582,0.04210334221583768
hea,lso_grid,4,6,0.132363610662844,0.0154186216151212,0.8231078403096039,0.018732201128495673
hea,lso_grid,4,8,0.0569447522205134,0.0098704572192047,0.869676618849923,0.011349571789405563
hea,lso_grid,6,4,0.3821735071117008,0.0810609288723434,0.6269989761198816,0.1292839892243215
hea,lso_grid,6,6,0.3568047160135052,0.0683239850605262,0.6217299748348624,0.10989334248951681
hea,lso_grid,6,8,0.2329783303683475,0.0559188721332945,0.6596859192770681,0.0847659022259782
hea,lso_grid,8,4,0.4805585703164947,0.1102346081008258,0.5872010355748197,0.18772890615377666
hea,lso_grid,8,6,0.6078777365756035,0.189727615004034,0.5135802211213927,0.3694215766132258
hea,lso_grid,8,8,0.3451241707339673,0.0852827478585618,0.6519132646943677,0.13081916334152882
hea,lso_grid,10,4,0.4637657326909274,0.0879917920440239,0.5926780404212625,0.14846474146651573
hea,lso_grid,10,6,0.6370205677764924,0.2965782780879944,0.5943528498705981,0.4989936165908267
hea,vanilla_ls_nm,4,4,0.1411817599415133,0.0096336755848074,1.0177103535447607,0.009466028866909521
hea,vanilla_ls_nm,4,6,0.0288562821568154,0.0061970409646153,0.9819810893849104,0.006310753874595466
hea,vanilla_ls_nm,4,8,0.0555584538330719,0.0030407717479151,0.9701493984649828,0.0031343334879415023
hea,vanilla_ls_nm,6,4,0.245937074980775,0.0165935138878413,1.0531240142179157,0.015756467105314455
hea,vanilla_ls_nm,6,6,0.1197479705894869,0.0194845087522086,1.0940278411172888,0.017809883825543063
hea,vanilla_ls_nm,6,8,0.0350904652408223,0.0111210931981335,0.9724478109657264,0.01143618513274175
hea,vanilla_ls_nm,8,4,0.5183041421048395,0.0172442197458785,1.0267412986263689,0.016795097040460696
hea,vanilla_ls_nm,8,6,0.4880231305555229,0.0744792116007835,1.1904064322272112,0.06256620393207667
hea,vanilla_ls_nm,8,8,0.0988139840667099,0.0469090915826004,1.3043046149803672,0.03596482834135068
hea,vanilla_ls_nm,10,4,0.5261269198541884,0.0190674851938686,1.0275860179875431,0.018555609807937017
hea,vanilla_ls_nm,10,6,0.6857231822582976,0.0870747280857678,0.9874920951981052,0.0881776456836339
hea,vanilla_ls_nm,10,8,0.3946347096444405,0.1825246310381318,1.5750176792749393,0.11588735379920126
hva,lso_grid,4,4,0.1226176574276738,0.0061376012306268,0.9102355150849492,0.006742871629277176
hva,lso_grid,4,6,0.1491092730486699,0.0042787578713585,0.9290866733351906,0.004605337687170586
hva,lso_grid,4,8,0.1794096457241097,0.0039887012851061,0.926918423803432,0.004303184813976649
hva,lso_grid,6,4,0.1150947978021856,0.0108176130962253,0.8894040556360039,0.012162765649286065
hva,lso_grid,6,6,0.2220835643271881,0.0097270329854068,0.8857415538017586,0.01098179592416847
hva,lso_grid,6,8,0.2385770121645248,0.0073621934727575,0.9083479921657815,0.00810503632556479
hva,lso_grid,8,4,0.1240926181297586,0.0086103720937441,0.8928861652256044,0.009643303288912008
hva,lso_grid,8,6,0.1807147479195552,0.0075394612480764,0.8935881623676132,0.008437288636523746
hva,lso_grid,8,8,0.2896099833811769,0.0065475613924866,0.9014965022037844,0.007262991455297422
hva,lso_grid,10,4,0.1593419624375005,0.010712411013506,0.8751483482288349,0.012240680148898488
hva,lso_grid,10,6,0.166083000931126,0.0072869885741243,0.8991661533793922,0.00810416244732651
hva,lso_grid,10,8,0.2098352484775836,0.006269277817922,0.9022100272275068,0.0069488008653456265
hva,vanilla_ls_nm,4,4,0.0698845578153009,0.0034876287969267,1.0082851933312589,0.003458970557133715
hva,vanilla_ls_nm,4,6,0.0076183704829015,0.0026595679800202,0.9932012026619372,0.002677773620181021
hva,vanilla_ls_nm,6,4,0.1399379608986409,0.0034035835434378,1.024736985574805,0.0033214215855872815
hva,vanilla_ls_nm,6,6,0.0940444351575868,0.0019919492932003,0.9756851387253228,0.0020415902775793725
hva,vanilla_ls_nm,6,8,0.0849194946653838,0.0018959223154983,0.9601012754967296,0.0019747107559224967
hva,vanilla_ls_nm,8,4,0.0215148727790201,0.0024193239694175,1.0019802557658588,0.002414542557595909
hva,vanilla_ls_nm,8,6,0.0828487166948999,0.0019470472060567,0.984919349231527,0.0019768595343119854
hva,vanilla_ls_nm,8,8,0.0880588597665903,0.0017169678707485,0.9666538948199184,0.001776197126964828
hva,vanilla_ls_nm,10,4,0.1190732060310549,0.0026778542354435,1.000404396791021,0.0026767717575344576
hva,vanilla_ls_nm,10,6,0.0415104181457108,0.0018614514701484,0.9700068156327146,0.0019190086504023327
hva,vanilla_ls_nm,10,8,0.0830903559578006,0.0016675489191107,0.9568577265233524,0.001742734445140108
