basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_nu_full_seeds_identifiable,rho_nu_full_seeds_estimable,rho_nu_full_fraction_expected,rho_nu_full_cell_estimable,rho_nu_full_vif_median,rho_nu_full_vif_p90,rho_nu_full_kappa_median,rho_cos_full_seeds_identifiable,rho_cos_full_seeds_estimable,rho_cos_full_fraction_expected,rho_cos_full_cell_estimable,rho_cos_full_vif_median,rho_cos_full_vif_p90,rho_cos_full_kappa_median,rho_C_full_seeds_identifiable,rho_C_full_seeds_estimable,rho_C_full_fraction_expected,rho_C_full_cell_estimable,rho_C_full_vif_median,rho_C_full_vif_p90,rho_C_full_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
full,hea,lso_grid,4,4,30,30,30,27,0.9,True,4.4264270224408495,9.218488272124599,4.179868550331591,30,27,0.9,True,4.42642702244085,9.2184882721246,4.17986855033159,30,27,0.9,True,4.4264270224408495,9.218488272124599,4.179868550331592,rho_nu_full;rho_C_full,27,0.9,0.9,True,
full,hea,lso_grid,4,6,30,30,30,27,0.9,True,4.689953879988993,8.576596392120182,4.321715851623756,30,27,0.9,True,4.689953879988991,8.576596392120182,4.321715851623757,30,27,0.9,True,4.689953879988993,8.576596392120182,4.321715851623755,rho_nu_full;rho_C_full,27,0.9,0.9,True,
full,hea,lso_grid,4,8,30,30,30,29,0.9666666666666667,True,3.8684351474363226,8.537668695410447,3.969233773410851,30,29,0.9666666666666667,True,3.8684351474363234,8.53766869541044,3.969233773410852,30,29,0.9666666666666667,True,3.8684351474363226,8.53766869541044,3.9692337734108514,rho_nu_full;rho_C_full,29,0.9666666666666667,0.9666666666666667,True,
full,hea,lso_grid,6,4,30,30,30,29,0.9666666666666667,True,5.082872535591811,8.131967995422013,4.805290500541201,30,29,0.9666666666666667,True,5.082872535591812,8.131967995422013,4.805290500541201,30,29,0.9666666666666667,True,5.082872535591812,8.131967995422013,4.805290500541201,rho_nu_full;rho_C_full,29,0.9666666666666667,0.9666666666666667,True,
full,hea,lso_grid,6,6,30,30,30,30,1.0,True,3.682954579425606,6.270021124872627,3.8718498733605236,30,30,1.0,True,3.6829545794256067,6.27002112487263,3.871849873360525,30,30,1.0,True,3.6829545794256067,6.27002112487263,3.8718498733605244,rho_nu_full;rho_C_full,30,1.0,1.0,True,
full,hea,lso_grid,6,8,30,30,30,27,0.9,True,5.45119922312135,8.879740383970953,4.772009919660809,30,27,0.9,True,5.45119922312135,8.879740383970953,4.7720099196608095,30,27,0.9,True,5.45119922312135,8.879740383970953,4.772009919660806,rho_nu_full;rho_C_full,27,0.9,0.9,True,
full,hea,lso_grid,8,4,30,30,30,25,0.8333333333333334,True,4.20468316337563,10.502095815834291,4.103807593311917,30,25,0.8333333333333334,True,4.20468316337563,10.502095815834291,4.1038075933119185,30,25,0.8333333333333334,True,4.20468316337563,10.502095815834291,4.10380759331192,rho_nu_full;rho_C_full,25,0.8333333333333334,0.8333333333333334,True,
full,hea,lso_grid,8,6,30,30,30,24,0.8,True,4.6240407919613595,10.4919662762286,4.323861060044587,30,24,0.8,True,4.6240407919613595,10.4919662762286,4.32386106004459,30,24,0.8,True,4.6240407919613595,10.4919662762286,4.32386106004459,rho_nu_full;rho_C_full,24,0.8,0.8,True,
full,hea,lso_grid,8,8,30,30,30,27,0.9,True,4.647982300389885,8.997969482293874,4.329097516812499,30,27,0.9,True,4.647982300389885,8.997969482293874,4.329097516812499,30,27,0.9,True,4.647982300389885,8.997969482293874,4.329097516812498,rho_nu_full;rho_C_full,27,0.9,0.9,True,
full,hea,lso_grid,10,4,30,30,30,29,0.9666666666666667,True,5.457179675265513,9.168047166861008,4.94239081331901,30,29,0.9666666666666667,True,5.457179675265513,9.168047166861008,4.942390813319012,30,29,0.9666666666666667,True,5.457179675265513,9.168047166861008,4.942390813319013,rho_nu_full;rho_C_full,29,0.9666666666666667,0.9666666666666667,True,
