basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_A_lite_seeds_identifiable,rho_A_lite_seeds_estimable,rho_A_lite_fraction_expected,rho_A_lite_cell_estimable,rho_A_lite_vif_median,rho_A_lite_vif_p90,rho_A_lite_kappa_median,rho_nu_lite_seeds_identifiable,rho_nu_lite_seeds_estimable,rho_nu_lite_fraction_expected,rho_nu_lite_cell_estimable,rho_nu_lite_vif_median,rho_nu_lite_vif_p90,rho_nu_lite_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
lite,hea,lso_grid,4,4,30,30,30,23,0.7666666666666667,True,5.393465141356926,14.919525797658194,4.490988089579444,30,23,0.7666666666666667,True,5.393465141356926,14.919525797658194,4.490988089579445,rho_A_lite;rho_nu_lite,23,0.7666666666666667,0.7666666666666667,True,
lite,hea,lso_grid,4,6,30,30,30,21,0.7,True,7.432525985680786,26.253353937120888,5.369499355773646,30,21,0.7,True,7.432525985680786,26.2533539371209,5.369499355773644,rho_A_lite;rho_nu_lite,21,0.7,0.7,True,
lite,hea,lso_grid,4,8,30,30,30,24,0.8,True,4.4933623727914505,25.623809915219244,4.190123758956727,30,24,0.8,True,4.4933623727914505,25.623809915219226,4.190123758956725,rho_A_lite;rho_nu_lite,24,0.8,0.8,True,
lite,hea,lso_grid,6,4,30,30,30,26,0.8666666666666667,True,4.97282871747908,10.953874672960728,4.272224394920106,30,26,0.8666666666666667,True,4.97282871747908,10.953874672960728,4.272224394920105,rho_A_lite;rho_nu_lite,26,0.8666666666666667,0.8666666666666667,True,
lite,hea,lso_grid,6,6,30,30,30,26,0.8666666666666667,True,5.202686690538611,11.080831417580116,4.507621129790516,30,26,0.8666666666666667,True,5.202686690538611,11.080831417580107,4.5076211297905155,rho_A_lite;rho_nu_lite,26,0.8666666666666667,0.8666666666666667,True,
lite,hea,lso_grid,6,8,30,30,30,17,0.5666666666666667,False,8.090904340573921,17.990871616442206,5.6292746566020835,30,17,0.5666666666666667,False,8.090904340573921,17.990871616442206,5.629274656602083,rho_A_lite;rho_nu_lite,17,0.5666666666666667,0.5666666666666667,False,
lite,hea,lso_grid,8,4,30,30,30,27,0.9,True,3.210774706059077,10.007833358596068,3.373005373143456,30,27,0.9,True,3.2107747060590777,10.007833358596068,3.373005373143455,rho_A_lite;rho_nu_lite,27,0.9,0.9,True,
lite,hea,lso_grid,8,6,30,30,30,27,0.9,True,4.155613592387136,9.572651176704321,3.8244407775389626,30,27,0.9,True,4.155613592387136,9.572651176704321,3.824440777538962,rho_A_lite;rho_nu_lite,27,0.9,0.9,True,
lite,hea,lso_grid,8,8,30,30,30,28,0.9333333333333333,True,4.809597769885493,9.090261010321662,4.163623867236771,30,28,0.9333333333333333,True,4.809597769885494,9.090261010321662,4.1636238672367725,rho_A_lite;rho_nu_lite,28,0.9333333333333333,0.9333333333333333,True,
lite,hea,lso_grid,10,4,30,30,30,28,0.9333333333333333,True,4.352548531683562,8.586833456619079,3.995860963401481,30,28,0.9333333333333333,True,4.352548531683562,8.586833456619079,3.9958609634014826,rho_A_lite;rho_nu_lite,28,0.9333333333333333,0.9333333333333333,True,
