ansatz,variant,n_qubits,depth,n_transitions,n_valid_base,f_zero_update,f_zero_grad,f_undefined_C_given_valid,f_invalid_C_total,f_worse_given_valid,f_worse_total
hea,lso_grid,4,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,4,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,4,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,6,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,6,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,6,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,8,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,8,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,8,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,10,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,10,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_grid,10,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,4,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,4,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,4,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,6,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,6,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,6,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,8,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,8,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,8,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,10,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,10,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,lso_pcgrad,10,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,pcgrad,4,4,3000,3000,0.0,0.0,0.0,0.0,0.287,0.287
hea,pcgrad,4,6,3000,3000,0.0,0.0,0.0,0.0,0.354,0.354
hea,pcgrad,4,8,3000,3000,0.0,0.0,0.0,0.0,0.41533333333333333,0.41533333333333333
hea,pcgrad,6,4,3000,3000,0.0,0.0,0.0,0.0,0.23266666666666666,0.23266666666666666
hea,pcgrad,6,6,3000,3000,0.0,0.0,0.0,0.0,0.13233333333333333,0.13233333333333333
hea,pcgrad,6,8,3000,3000,0.0,0.0,0.0,0.0,0.19,0.19
hea,pcgrad,8,4,3000,3000,0.0,0.0,0.0,0.0,0.178,0.178
hea,pcgrad,8,6,3000,3000,0.0,0.0,0.0,0.0,0.06933333333333333,0.06933333333333333
hea,pcgrad,8,8,3000,3000,0.0,0.0,0.0,0.0,0.008,0.008
hea,pcgrad,10,4,3000,3000,0.0,0.0,0.0,0.0,0.22,0.22
hea,pcgrad,10,6,3000,3000,0.0,0.0,0.0,0.0,0.047,0.047
hea,pcgrad,10,8,3000,3000,0.0,0.0,0.0,0.0,0.003,0.003
