n,variant,corr_U_sqrtQ,corr_U_dE,corr_sqrtQ_dE,corr_pred_dE
4,lso_grid,0.6064338349126498,0.6138181571136679,0.987641141273322,0.9989195340842395
4,lso_pcgrad,0.572296117512854,0.5897839214014101,0.9877377491436116,0.9989196392476821
4,pcgrad,0.317923818095894,0.4270029279789761,0.7488352005178416,0.8714016656232181
4,pcgrad_nm,0.2989990620741054,0.5304718856115328,0.8836138497825018,0.9702908308431191
4,vanilla,0.585562647918334,0.5928437857208977,0.9939987149299792,0.9993332789536007
4,vanilla_ls_nm,0.6436598453639736,0.6441046256818778,0.9918937516553091,0.9989860246872408
6,lso_grid,0.5878950027889202,0.6578878223789841,0.982762746639369,0.9997919902813518
6,lso_pcgrad,0.5840484764788665,0.6542211038157202,0.9830652774943442,0.9997920540554588
6,pcgrad,0.38001454558653047,0.6688043078952595,0.6465735876148296,0.8612773563405695
6,pcgrad_nm,0.38472924056829627,0.7270070104760523,0.8538180604542602,0.9901427982530469
6,vanilla,0.5180673921084074,0.5920360308946429,0.9896362084600805,0.9998794503018825
6,vanilla_ls_nm,0.594717867039149,0.6512910008420305,0.987216170219534,0.9997930185863824
8,lso_grid,0.3569676939850846,0.570504565853515,0.9511573923650509,0.9998189941406128
8,lso_pcgrad,0.3632437573509945,0.5689073654831861,0.9537769422640243,0.9998198585031799
8,pcgrad,-0.031808050258891024,0.6779789336226486,0.26390274753370113,0.655467546108951
8,pcgrad_nm,-0.23107985322701072,0.5592973354776912,0.5351290188301628,0.9594406713203822
8,vanilla,0.19966129528597296,0.40953734378666656,0.9634804164655081,0.9998988321643275
8,vanilla_ls_nm,0.36879209300513327,0.5641175463304514,0.9556232656735815,0.9997937506694925
10,lso_grid,0.005322588809588175,0.26679426040211324,0.9469221411589254,0.9998233457070819
10,lso_pcgrad,0.013464218624165497,0.266151817517624,0.9498212060205702,0.9998257833581983
10,pcgrad,-0.3476744051141159,0.4190141052944473,0.3742804736385964,0.7907943109787908
10,pcgrad_nm,-0.5796492755190276,0.20855210419059056,0.5447312708082028,0.9716873389796677
10,vanilla,-0.19579915271937082,0.03268093044335989,0.9635328069581802,0.99991049399389
10,vanilla_ls_nm,0.08634777677720659,0.33010682187147233,0.9493500206208322,0.9998123975274341
