n,d,dE_pcgrad,dE_pcgrad_nm,dE_lso_pcgrad
4,4,0.25979429246904323,0.34569048504502814,-0.09339233104070703
4,6,0.2908370179490143,0.34415460376220514,-0.04828230397799957
4,8,0.3323216731196759,0.40442339154475465,-0.030279142885131626
6,4,0.5122526302705789,0.5652805598066257,-0.22666689588246078
6,6,-0.34080825569603207,-0.018889787310382645,-0.49659688692998605
6,8,0.04916525580090978,0.18985472136027035,-0.24448207169046313
8,4,0.34451781709815926,0.526529526695676,-0.6917370040436827
8,6,-1.126129623144675,0.30900041463818745,-1.2324867352608209
8,8,-0.8262387445789107,0.0399478616450756,-0.641034291489486
10,4,1.185085917284278,1.352528024216322,-0.4828108996927109
10,6,-1.6038409706532275,0.5532743051877155,-2.0273069181966137
10,8,-1.4751444692159152,0.0677619404255434,-1.2923650324011495
