n,d,n_seeds,mean_grid_minus_vls,ci95_lo,ci95_hi,mean_grid_minus_vls_per_qubit,ci95_lo_per_qubit,ci95_hi_per_qubit,grid_strictly_better,grid_strictly_better_fraction,grid_minus_lso
4,4,30,0.03685718646898839,-0.0014199862720005916,0.07738490208975105,0.009214296617247097,-0.00036492536048260773,0.019422468856926053,10,0.3333333333333333,-3.652095210474234e-05
4,6,30,0.03794769152068268,0.01416955980604025,0.0702062048181682,0.00948692288017067,0.0035044314955408875,0.01775580917288393,5,0.16666666666666666,-5.315964205365731e-06
4,8,30,0.01155422080997468,0.005666534062971017,0.01947767930581791,0.00288855520249367,0.0014322372803460056,0.0048599374435425256,3,0.1,1.4690974357319438e-06
6,4,30,0.2263229757754707,0.09052167114054742,0.3850645268296868,0.037720495962578454,0.014794997305448159,0.06373772525859325,4,0.13333333333333333,-0.0008002127353694099
6,6,30,0.04677850176871991,-0.1257636178789523,0.20973687775077673,0.007796416961453318,-0.020860543797713068,0.03463511624219828,11,0.36666666666666664,-0.00010928414454740576
6,8,30,0.06803860244576411,0.011356128438936868,0.12186923801905471,0.011339767074294018,0.0022101748282226906,0.020278615354155424,9,0.3,0.0003637848838682641
8,4,30,0.3216328906665417,0.05887128381723857,0.5825152020733205,0.040204111333317714,0.00668545358130044,0.07302193052800268,7,0.23333333333333334,0.00037933019143127447
8,6,30,0.6294537693302509,0.17834813124986548,1.133412357658798,0.07868172116628136,0.021524232173821097,0.14241670839100007,11,0.36666666666666664,-0.0007371680316365925
8,8,30,0.21760677705723092,-0.022226733755946533,0.4267416238890492,0.027200847132153864,-0.004166062446795117,0.05261272656873863,9,0.3,-0.00016091442099582429
10,4,30,0.4435951675237245,0.16164330933257298,0.7668050395918476,0.04435951675237245,0.01613056432059287,0.07722589163013452,7,0.23333333333333334,-7.654180291390607e-05
10,6,30,0.7757573796543272,0.35960764515752613,1.2429374281563186,0.07757573796543271,0.03654524150995917,0.12558751470972362,7,0.23333333333333334,0.00048414634787521396
10,8,30,0.387354573762641,0.12205630041822811,0.6650129256063672,0.03873545737626409,0.012745517286814336,0.06700963613630388,10,0.3333333333333333,-0.00029202031046574224
