variant,n,d,phase,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
vanilla,4,4,early,2.150700889797511,1.4257892552544322,105,105,0.09403804225838036,0.19037912624618786,0.0963410839878075,2.024490532492151
vanilla,4,4,late,1.1740196642337888,0.006540533997654949,293,293,0.004199392373268054,0.007399984704653661,0.003200592331385607,1.7621560566141714
vanilla,4,4,mid,1.606421733032082,0.052425966327201,213,213,0.014298228204521202,0.029395430279859046,0.015097202075337844,2.055879222193698
vanilla,4,6,early,2.147598772285024,1.6457993127616328,90,90,0.09111995822336093,0.2038390959672889,0.11271913774392799,2.237041148193037
vanilla,4,6,late,1.1322882524899487,0.003847029851702,389,389,0.0022431834902658307,0.004225068783652575,0.0019818852933867447,1.8835145684635364
vanilla,4,6,mid,1.3368750978460109,0.026949786759937748,221,221,0.010429962412745705,0.014005829179582999,0.0035758667668372938,1.3428456043587929
vanilla,4,8,early,2.0163447311876066,1.447741103179341,53,53,0.09114360911534743,0.1878715499540895,0.09672794083874207,2.061269591774969
vanilla,4,8,late,0.783473884083034,0.0011984282446701,251,251,0.000862788830214044,0.0034221074093206574,0.0025593185791066135,3.9663325364002313
vanilla,4,8,mid,0.9378701361725936,0.025901442470344947,286,286,0.004583844298316061,0.008833142793319253,0.0042492984950031915,1.9270163248267902
vanilla,6,4,early,2.6898889627314215,0.8763211093596686,131,131,0.09647012768121553,0.14049178655488603,0.0440216588736705,1.456324252198977
vanilla,6,4,late,1.5428345018847018,0.061866458303289545,264,264,0.015468025856053235,0.02140717492683456,0.0059391490707813265,1.3839629650255019
vanilla,6,4,mid,2.2785159016583343,0.22693788130644735,260,260,0.044335246508752695,0.06601963771342023,0.021684391204667537,1.4891004993146162
vanilla,6,6,early,2.895241300452163,1.1001911473384496,137,137,0.11322018399023409,0.18848928680959315,0.07526910281935906,1.6648028661201564
vanilla,6,6,late,2.0309036440536286,0.025816879826124753,338,338,0.013921426996516923,0.01995295193743404,0.006031524940917117,1.433254790793083
vanilla,6,6,mid,2.4666386548806036,0.10018207956230249,226,226,0.03059112501414217,0.04773778964881638,0.017146664634674208,1.560511083745608
vanilla,6,8,early,2.9508425694643323,1.2749900134274004,108,108,0.12062436782248219,0.23946844204375872,0.11884407422127653,1.985241011966789
vanilla,6,8,late,2.1878150655754043,0.015773977342769502,248,248,0.010677431978545345,0.017250343569631076,0.006572911591085731,1.6155891795230337
vanilla,6,8,mid,2.5706520688342733,0.1025820647346751,225,225,0.031854115093111236,0.05415919171338776,0.022305076620276525,1.700225906608224
vanilla,8,4,early,3.0005379894136865,0.5039140353563158,181,181,0.08743762509083902,0.13744881362000969,0.050011188529170664,1.5719641684825496
vanilla,8,4,late,1.9811470030781901,0.1302318832609024,139,139,0.03095670424448888,0.03633147292905148,0.0053747686845626,1.1736221221133207
vanilla,8,4,mid,2.652965091712732,0.3691908766971682,256,256,0.06945459867591164,0.09214142867882547,0.022686830002913827,1.3266425900576417
vanilla,8,6,early,3.3770898194702115,0.299894667432834,151,151,0.0755409010762019,0.11458186548714777,0.03904096441094587,1.5168188869174766
vanilla,8,6,late,2.607694734255905,0.10570434429230495,233,233,0.026364321952837215,0.05113809698839776,0.024773775035560545,1.9396704789100216
vanilla,8,6,mid,2.9308940215457304,0.09355644774454899,359,359,0.03920241905931017,0.06549584558735483,0.02629342652804466,1.6707092867984696
vanilla,8,8,early,3.4645932686902956,0.3527756283788688,115,115,0.08795187068390013,0.127971678173784,0.04001980748988386,1.455019400709684
vanilla,8,8,late,2.833873197524128,0.015474946296561251,249,249,0.015203851626481158,0.020552849422943085,0.005348997796461927,1.3518186001726933
vanilla,8,8,mid,3.155134282747572,0.05134779292644625,195,195,0.030421909108981435,0.046992616420078986,0.01657070731109755,1.544696496585265
vanilla,10,4,early,3.097972171789289,0.6516005068767696,186,186,0.09194334720481484,0.17113518702777575,0.07919183982296091,1.861311255577324
vanilla,10,4,late,2.0527084485355567,0.24436052746205245,134,134,0.04177822964295821,0.056630114630997354,0.014851884988039146,1.3554934020652658
vanilla,10,4,mid,3.008708065162536,0.6303595462058937,251,251,0.1041155602437447,0.13672357839519683,0.03260801815145213,1.3131906323619023
vanilla,10,6,early,3.6313243549000473,0.10191036296609385,205,205,0.04718057274013568,0.07878252668384005,0.03160195394370437,1.669808612069288
vanilla,10,6,late,2.8742497435344205,0.249521338175901,188,188,0.06136281471258667,0.08756344126787115,0.026200626555284476,1.4269788906849188
vanilla,10,6,mid,3.2382510818449726,0.16398321023543883,296,296,0.039103452811818894,0.08492267259924854,0.04581921978742965,2.1717435799833242
vanilla,10,8,early,3.9835290891202986,0.07050042817991056,125,125,0.047423121356525724,0.061003596020416016,0.013580474663890292,1.2863682160816168
vanilla,10,8,late,3.206319670796506,0.00729088278500385,383,383,0.011209074143649665,0.03657371735432888,0.025364643210679213,3.262866931346794
vanilla,10,8,mid,3.651751925991987,0.01838546280823285,274,274,0.019904185910506755,0.03556816641300031,0.015663980502493558,1.7869691618095802
pcgrad,4,4,early,1.932221559956316,2.350174215068221,102,102,0.13285854153362076,0.15953061942554192,0.026672077891921164,1.2007554620428496
pcgrad,4,4,late,1.1570688735744508,0.16992807227659062,375,375,0.005081233217476797,-0.003121021001874919,-0.008202254219351716,-0.6142251040830465
pcgrad,4,4,mid,0.8236538040561058,0.2193724854531343,308,308,0.013119724829269,-0.00423258860001687,-0.017352313429285872,-0.32261260469231196
pcgrad,4,6,early,1.8266404011967834,2.6199969544749218,71,71,0.12571308582808632,0.14170730711507606,0.01599422128698974,1.1272279745710958
pcgrad,4,6,late,1.3763122069017348,1.0230426105220363,413,413,0.011909985593423733,-0.011412779012052341,-0.023322764605476075,-0.9582529653397791
pcgrad,4,6,mid,1.1293724458424679,0.9867527492430488,344,344,0.015945594255388575,-0.002403423953481152,-0.01834901820886973,-0.15072652138185136
pcgrad,4,8,early,1.4006746044399176,3.891936854896488,58,58,0.09262274139084321,0.039339459143817763,-0.05328328224702545,0.42472786437853055
pcgrad,4,8,late,1.7106013962924673,2.99649047856379,347,347,0.01623932182479765,-0.020235908866087945,-0.036475230690885596,-1.2461055384214046
pcgrad,4,8,mid,1.6312384233146107,3.4381124851518052,352,352,0.018030655708291817,-0.008686358911811565,-0.026717014620103383,-0.48175502057958663
pcgrad,6,4,early,2.650865575262353,1.3535345195474244,111,111,0.13274319934004936,0.15917197501881247,0.026428775678763117,1.1990970219955321
pcgrad,6,4,late,0.725401929273195,0.46004429049337187,319,319,0.005437723598757783,-0.013363010487531342,-0.018800734086289125,-2.45746409225067
pcgrad,6,4,mid,1.4636503363857813,0.7070532585741227,315,315,0.05780432734771193,0.02649515285781045,-0.03130917448990148,0.4583593317924701
pcgrad,6,6,early,2.7603761118065107,1.7602438306722223,84,84,0.14623404417411545,0.2032611693637499,0.05702712518963446,1.3899716068970531
pcgrad,6,6,late,1.6341869511957672,0.5547580518759464,230,230,0.020145385639389248,-0.017430823143186554,-0.0375762087825758,-0.8652514007527834
pcgrad,6,6,mid,1.511650178130419,0.3477869660020174,246,246,0.041788082230781835,0.03389178926341795,-0.007896292967363883,0.8110395944050446
pcgrad,6,8,early,2.7224368441134503,2.2380468853316624,60,60,0.17966362099755143,0.22190068464408413,0.04223706364653271,1.2350896826637394
pcgrad,6,8,late,1.8763091848750701,0.7054952767791838,320,320,0.01507677675680634,-0.016143201820552545,-0.031219978577358885,-1.0707329610929452
pcgrad,6,8,mid,1.4708846724261262,0.41237144970710493,226,226,0.03563125375477267,0.0192751349451493,-0.01635611880962337,0.5409614569784109
pcgrad,8,4,early,2.980751799915661,0.92444885875368,198,198,0.11856158724526304,0.18212901546387444,0.0635674282186114,1.536155340828158
pcgrad,8,4,late,1.0083637348875216,0.9037146977650616,341,341,0.016720118418331226,-0.0099831374462497,-0.026703255864580926,-0.5970733697259353
pcgrad,8,4,mid,1.8522147095584738,0.9823769767180173,297,297,0.09059858270442954,0.05227058347479109,-0.03832799922963845,0.5769470328837217
pcgrad,8,6,early,3.292230953254158,0.5146032140131164,128,128,0.0981072818611092,0.14367388649183288,0.04556660463072368,1.464456906422425
pcgrad,8,6,late,1.7441010936177634,0.88097773875791,269,269,0.06000070597193947,0.018790301989939744,-0.041210403981999724,0.3131680150351465
pcgrad,8,6,mid,2.503388914981966,0.33169790659943976,289,289,0.05962128472621811,0.07547261106249954,0.015851326336281432,1.2658669032220788
pcgrad,8,8,early,3.4380232851975965,0.554267316856247,100,100,0.10448094176712275,0.14819536239528422,0.04371442062816147,1.4183961197975838
