n,d,g2_over_K,B_eff_t0,Q_t0
4,4,0.18583441856346827,0.8534306149590498,0.18407868548661713
4,6,0.20188424031012128,0.8614668190987014,0.19047064578066028
4,8,0.21636702843753167,0.8701325313613406,0.1937064598351826
6,4,0.07555539961210873,0.8809297873767876,0.07098464526367196
6,6,0.06934241258804341,0.834543517801879,0.06877769927447268
6,8,0.06800855191650203,0.8082920786112744,0.0715202138432159
8,4,0.03874078369513777,0.8502573486171572,0.03818837094937044
8,6,0.025710782674213634,0.8517789738808443,0.024571543220096418
8,8,0.023339780599273673,0.8156437314283708,0.023718798222111814
10,4,0.03021010022217179,0.843532936373101,0.031650195102947726
10,6,0.010736868377058933,0.8277645989104878,0.01082835784580246
10,8,0.007766315328705161,0.8225140022781208,0.007740650060526609
