n,variant,corr_U_sqrtQ,corr_U_dE,corr_sqrtQ_dE,corr_pred_dE
4,lso_grid,0.7351278859081362,0.7064092287323414,0.9791830735067822,0.997176030881277
4,lso_pcgrad,0.7372556085407237,0.710950828623268,0.9795691797995799,0.9971747306035114
4,pcgrad,0.055727983551279434,0.5981069347774172,0.3367153801618527,0.8538044883975138
4,pcgrad_nm,-0.022269164202204768,0.6167148501492206,0.5119741467544058,0.9551480649068222
4,vanilla,0.7218707670313347,0.6964851676834266,0.9866187965345465,0.9984675638643126
4,vanilla_ls_nm,0.7593753261508293,0.7311268080424639,0.9834903012188966,0.9972611299618627
6,lso_grid,0.7589139694629549,0.7388660909054585,0.9807712481364498,0.9984249513388334
6,lso_pcgrad,0.7708721917289969,0.7504642149193399,0.981439183695081,0.9984386810322828
6,pcgrad,0.13697747767137175,0.5929343866905674,0.3349941685306547,0.8051254680879576
6,pcgrad_nm,0.06823433642259442,0.6264342897527306,0.5164696753969535,0.9226459187321573
6,vanilla,0.7496650318456877,0.7323621200345961,0.9881104252041077,0.9992795416713455
6,vanilla_ls_nm,0.7852843165297311,0.7610237437013088,0.9853562675481746,0.9985807875946627
8,lso_grid,0.791993302608317,0.7595888324731044,0.9836147338321978,0.9980913059126211
8,lso_pcgrad,0.8025780021298248,0.7722611029818195,0.9843084672704144,0.9981175243053381
8,pcgrad,0.23273405688539522,0.6531736676515626,0.342896999135053,0.8123304498099523
8,pcgrad_nm,0.1297941501633712,0.6655040148706919,0.5419633495932402,0.9357355979012147
8,vanilla,0.775670994965361,0.7525910277559373,0.9889246244302233,0.9990549217987845
8,vanilla_ls_nm,0.8091399668426512,0.7812149322882188,0.9860646401150966,0.9981388805317127
10,lso_grid,0.8245628138564383,0.7852355939789883,0.9845999565871126,0.9987639136990855
10,lso_pcgrad,0.8371408264422244,0.79976920344715,0.9851701913103876,0.9987693963050801
10,pcgrad,0.3023380766701681,0.6917967922176294,0.3324834619651422,0.7978425021835022
10,pcgrad_nm,0.2247695038096734,0.7260257405216558,0.5044790807023445,0.9191453395228867
10,vanilla,0.8101170470898573,0.783993950917525,0.9894339843655457,0.9994173309968531
10,vanilla_ls_nm,0.8344579184518613,0.8034429535811236,0.9869298802678479,0.9987590227657513
