n,d,dE_pcgrad,dE_pcgrad_nm,dE_lso_pcgrad
4,4,0.9150342324072429,0.904749464804891,-0.010417557032542272
4,6,0.8508169016258936,0.8758684517481657,-0.006103329936792138
4,8,0.8002652991512137,0.8880190430586588,-0.0034491017270208424
6,4,1.4181317349819305,1.3910184644869814,-0.008070836109913888
6,6,1.1061479074276062,1.1921861808095686,-0.009385571521992642
6,8,0.9919101993041772,1.1328082417393965,-0.01475584164361369
8,4,1.8582821030298928,1.8294048145945838,0.0007690295740992189
8,6,1.5572795880328827,1.715243638997591,-0.11004011030037635
8,8,1.2566469251329104,1.5262843488954345,0.0006702070509871186
10,4,2.178158359900713,2.1921448241063906,-0.14433858518138956
10,6,2.0015064199446884,2.2184893190916344,-0.07232812248513501
10,8,1.591777344219077,1.8961182877504388,-0.0659233361136249
