n,d,n_seeds,mean_grid_minus_vls,ci95_lo,ci95_hi,mean_grid_minus_vls_per_qubit,ci95_lo_per_qubit,ci95_hi_per_qubit,grid_strictly_better,grid_strictly_better_fraction,grid_minus_lso
4,4,30,0.012242292031791606,0.0061386547731616175,0.01829391506151237,0.0030605730079479015,0.001561155064089636,0.004565436050826848,3,0.1,3.2763001317774135e-05
4,6,30,0.010354631989865127,0.006338961515905514,0.014331941126112397,0.0025886579974662817,0.001587776497589537,0.0036035431696814367,3,0.1,3.7358028847656045e-05
4,8,30,0.008261281881548814,0.004734114652455097,0.012299107208275909,0.0020653204703872034,0.001198129127475209,0.0030262738610706635,1,0.03333333333333333,-3.2648974131592e-05
6,4,30,0.13349373096067021,0.028885179478347775,0.2518704406150234,0.0222489551601117,0.004707905289267013,0.041528299817385116,5,0.16666666666666666,8.300887073685222e-05
6,6,30,0.027261750440463986,0.012061884864591107,0.042612078744610815,0.0045436250734106655,0.0019736820414623414,0.007171550968521152,5,0.16666666666666666,3.358668589645101e-05
6,8,30,0.021598864465273326,0.0033514930910548647,0.04273409198732959,0.0035998107442122207,0.00046418915216010016,0.007151723269630034,5,0.16666666666666666,-3.069833901848303e-05
8,4,30,0.07583357919427532,0.034165864010618545,0.13416679350658747,0.009479197399284415,0.004288764514527472,0.017187179200183443,3,0.1,-5.035213155271852e-05
8,6,30,-0.00016808947813409247,-0.08888290888383932,0.07993693034415825,-2.101118476676156e-05,-0.010822037001368549,0.01033247127641738,6,0.2,0.0005307014593652681
8,8,30,0.06506276261730802,0.016768515187205506,0.1331113723745569,0.008132845327163503,0.002069541084563482,0.016805184508152504,4,0.13333333333333333,2.0689818058509484e-05
10,4,30,0.04211458490406296,-0.11457040936596938,0.1947049656077319,0.004211458490406297,-0.011634210238704057,0.019502057764497205,8,0.26666666666666666,0.0001240214758285063
10,6,30,0.019413519115151642,-0.06995922045491489,0.10576144767264946,0.001941351911515165,-0.007002016282208256,0.010452730702434592,4,0.13333333333333333,-0.00012173024666666995
10,8,30,-0.008805347814872041,-0.08012498469669636,0.041199888255058305,-0.000880534781487204,-0.008274785963775868,0.0041533789246340136,5,0.16666666666666666,-0.0011257488407171816
