variant,n,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
vanilla,4,0.6559618811134098,0.00627884604931335,1002,1002,0.0016057022724497592,0.003883810911767741,0.0022781086393179814,2.4187615465240375
vanilla,6,0.9792259697272516,0.0220816076533647,917,917,0.004339633179661337,0.011637546437933738,0.007297913258272401,2.6816889714263654
vanilla,8,1.0260486438099172,0.029776534993539702,998,998,0.004830087506331343,0.012136035343140648,0.007305947836809305,2.512591195756303
vanilla,10,1.1470878522109405,0.04596742540646215,967,967,0.0074169564274673425,0.015730309853318046,0.008313353425850704,2.120857794858241
pcgrad,4,1.0460687054342286,3.8072347199662655,2076,2076,0.02470083619170101,-0.08845040405460328,-0.11315124024630428,-3.580866792044913
pcgrad,6,1.2716701307647638,8.754600112209065,1954,1954,0.038488112207981484,-0.07409979606126275,-0.11258790826924424,-1.925264498836508
pcgrad,8,1.361664929764567,10.858786463918822,1936,1936,0.054899776240411084,-0.13124572322962202,-0.18614549947003312,-2.390642225113726
pcgrad,10,1.52262345982329,19.661668854942405,1767,1767,0.09023733670998883,-0.16804319384196656,-0.2582805305519554,-1.86223574374802
lso_pcgrad,4,0.6159357884276567,0.00516995903097215,1206,1206,0.0012290035929895622,0.003555103650309191,0.002326100057319629,2.892671486550637
lso_pcgrad,6,0.8954279032811752,0.0247193683680326,1006,1006,0.0038334028356939867,0.011276146377640895,0.007442743541946908,2.941550069469675
lso_pcgrad,8,0.9344033875880517,0.02728550088581905,1032,1032,0.004116914254805347,0.010977470751137551,0.006860556496332204,2.666431718446509
lso_pcgrad,10,1.060546453123842,0.03559106083354635,897,897,0.005556626523884686,0.014559203665820825,0.00900257714193614,2.6201515619664786
pcgrad_nm,4,0.988006362732339,2.5133692006919146,2455,2455,0.020010610668360136,-0.05305664542979646,-0.07306725609815659,-2.651425601602814
pcgrad_nm,6,1.1816952402414382,4.454188547907384,2432,2432,0.03474077699467195,-0.029493562026996524,-0.06423433902166847,-0.8489609208084157
pcgrad_nm,8,1.3035359357001,6.058570609538643,2353,2353,0.036147988125569894,-0.040404402123613854,-0.07655239024918375,-1.117749678993424
pcgrad_nm,10,1.3437817367635563,9.438856598127987,2183,2183,0.062386356989347996,-0.03531391677310131,-0.0977002737624493,-0.5660519138684584
lso_grid,4,0.5376820355138314,0.006491393076646699,1051,1051,0.001548901852503323,0.0029529332769359664,0.0014040314244326434,1.9064689426017916
lso_grid,6,0.8452919132108243,0.0277710251858579,1041,1041,0.004135927906582083,0.01105894103409331,0.006923013127511228,2.673871809151621
lso_grid,8,0.8444173432472608,0.031304386915679897,907,907,0.005193378650082976,0.010152985163745454,0.004959606513662478,1.9549865025888757
lso_grid,10,0.9569869325553144,0.0425629405550648,853,853,0.006606559615808856,0.013730668534626313,0.0071241089188174575,2.078338701700376
vanilla_ls_nm,4,0.5233242100264157,0.00302752317647955,1193,1193,0.0008105213446939806,0.002065771845828828,0.0012552505011348475,2.54869518162878
vanilla_ls_nm,6,0.7617922022530155,0.008889723711069799,1029,1029,0.002403272745976666,0.005900803077424743,0.0034975303314480773,2.4553197664739947
vanilla_ls_nm,8,0.8055584152731092,0.0134375049075466,1092,1092,0.0029889515415629465,0.00730782499971398,0.004318873458151034,2.4449459611823148
vanilla_ls_nm,10,0.8807552091644613,0.02273516245883895,1076,1076,0.003957389427258567,0.009140865547539104,0.0051834761202805375,2.309822097511219
