variant,n,d,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
vanilla,4,4,0.6906174133912695,0.013343628241795299,235,235,0.0024060021253390386,0.0054625604896273855,0.003056558364288347,2.2703888878974436
vanilla,4,6,0.6816534482050666,0.004845661821548551,363,363,0.0014530472750167614,0.003989592148040129,0.0025365448730233675,2.745672640275319
vanilla,4,8,0.5535642108874412,0.00448929386922875,367,367,0.0013026867880439894,0.0024240117538057806,0.0011213249657617912,1.860778643073124
vanilla,6,4,0.9796680491285998,0.03527025167100995,250,250,0.005790748048224057,0.013540226884708894,0.007749478836484837,2.338251771955697
vanilla,6,6,0.9617484032262242,0.01863456745911265,343,343,0.003547638039094134,0.010448574884176316,0.006900936845082182,2.945220106740171
vanilla,6,8,0.9997607095117917,0.01548093360097615,328,328,0.004057260391539774,0.011236295015794108,0.007179034624254334,2.7694291052218647
vanilla,8,4,1.0375690835675866,0.0422259480097843,339,339,0.005929798838597408,0.01421511006771233,0.008285311229114922,2.3972331026113984
vanilla,8,6,1.0214636946365827,0.0347586017048111,259,259,0.005008408877428766,0.012113831767234847,0.007105422889806081,2.4186986453577823
vanilla,8,8,1.022764643889185,0.01538591523888895,369,369,0.0037299569487469143,0.010348679127324553,0.006618722178577639,2.774476828962117
vanilla,10,4,1.1342245251903842,0.102449120329937,272,272,0.01060110226653335,0.019764158554419754,0.009163056287886403,1.864349390988641
vanilla,10,6,1.2251778627380148,0.03559815591613225,333,333,0.005007141322450441,0.017890869409877753,0.012883728087427312,3.5730705921282353
vanilla,10,8,1.1061678974230755,0.02067509118995665,276,276,0.005285404745208685,0.010671238821774958,0.005385834076566273,2.0190012565165665
pcgrad,4,4,0.9069320945954222,0.8661623369426457,818,818,0.012280690691017282,-0.015982744052651578,-0.02826343474366886,-1.3014531881616531
pcgrad,4,6,1.02549373045924,3.501181568494208,799,799,0.019230572399734663,-0.06696550936339511,-0.08619608176312978,-3.4822421283892244
pcgrad,4,8,1.2512887579832461,13.590353375589412,825,825,0.048231372073872056,-0.1002714218698611,-0.14850279394373317,-2.078966812643927
pcgrad,6,4,0.9177961860716399,2.035193563035884,890,890,0.012955592094301993,-0.017270325842866,-0.030225917937167994,-1.333040259152777
pcgrad,6,6,1.2016780702385084,8.716420352746375,899,899,0.04177750708257944,-0.04986868104116992,-0.09164618812374936,-1.1936729719798043
pcgrad,6,8,1.678729520665601,23.156901547046754,954,954,0.05767921705678943,-0.08588750684358251,-0.14356672390037195,-1.4890546582665978
pcgrad,8,4,1.0588189836557707,2.978512180345815,861,861,0.01685210006263844,-0.026495278572617128,-0.04334737863525557,-1.5722241426371466
pcgrad,8,6,1.4717211476352885,9.20705483800084,871,871,0.05612759695594243,-0.054159629853589616,-0.11028722680953204,-0.9649376205452448
pcgrad,8,8,1.6214859043276437,41.489536847992525,852,852,0.14688523863538563,-0.16081793464588232,-0.30770317328126795,-1.0948542967280865
pcgrad,10,4,1.1713870332322043,4.416558406420549,825,825,0.027520558840448937,-0.031336244620325665,-0.0588568034607746,-1.138648557320302
pcgrad,10,6,1.5339186006072254,19.032881459545067,837,837,0.08275356750331223,-0.09706647460572365,-0.17982004210903588,-1.1729581881994218
pcgrad,10,8,1.8603795058504051,49.10522346384824,822,822,0.1666789347832308,-0.18527012230485979,-0.35194905708809054,-1.1115389148953179
lso_pcgrad,4,4,0.6807039341310099,0.008990972849471049,372,372,0.0014241640838042367,0.005030022345232001,0.003605858261427765,3.531912089648948
lso_pcgrad,4,6,0.6493732957635324,0.00463121555254565,454,454,0.0013080304013319735,0.0039644142347824715,0.002656383833450498,3.0308272886818917
lso_pcgrad,4,8,0.5079728940259074,0.0040502152196621,368,368,0.0010352037985322418,0.0020351162013029973,0.0009999124027707555,1.9659087458802567
lso_pcgrad,6,4,0.9100115060620008,0.03923688978466775,294,294,0.005359356856664288,0.013563692377479534,0.008204335520815245,2.53084329710444
lso_pcgrad,6,6,0.9105381350811038,0.023830953409877897,386,386,0.003459884298836667,0.012237547542738376,0.00877766324390171,3.5369817270632615
lso_pcgrad,6,8,0.8512659766447419,0.015104918549188249,354,354,0.0035472772090322344,0.008132839864430206,0.004585562655397972,2.292699269096311
lso_pcgrad,8,4,0.9002748709219437,0.03879660228233055,299,299,0.004642097903709384,0.011016128887369435,0.006374030983660051,2.3730927515696565
lso_pcgrad,8,6,0.9451112907681638,0.029386040672381347,333,333,0.0041420515562749635,0.011053980171676695,0.006911928615401732,2.6687210483728934
lso_pcgrad,8,8,0.9508843042963515,0.017704698643384052,370,370,0.0035982700422659405,0.010700365090227183,0.007102095047961243,2.973752654619784
lso_pcgrad,10,4,1.0516400159676849,0.0757572895510236,241,241,0.009041624842960585,0.018620550575388525,0.00957892573242794,2.0594252580481345
lso_pcgrad,10,6,1.1217416384042957,0.029656820078255,345,345,0.004309883766456492,0.016059991976117443,0.01175010820966095,3.7263167283329492
lso_pcgrad,10,8,1.0158832160488505,0.018786478553603998,278,278,0.004478329154950474,0.008987492971196909,0.004509163816246435,2.006885304815497
