variant,n,d,phase,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
vanilla,4,4,early,1.7358038682854233,2.488919926848137,97,97,0.0985066965075836,0.17449120342422347,0.07598450691663987,1.7713638728184347
vanilla,4,4,late,0.5010829021825213,0.0013138535306768,296,296,0.0006416816369746538,0.001256144908739445,0.0006144632717647913,1.9575827581132144
vanilla,4,4,mid,0.7904201887103155,0.02759681677993395,155,155,0.004277651525159684,0.007925163663862016,0.003647512138702332,1.852690341241897
vanilla,4,6,early,1.6798802837392324,1.6671170646977818,59,59,0.06771364850949736,0.13930862138403433,0.07159497287453696,2.057319675582024
vanilla,4,6,late,0.5470962625731499,0.0007549125244450999,276,276,0.0004982136957059391,0.0009620660373051772,0.0004638523415992381,1.9310308921596124
vanilla,4,6,mid,0.7086623130823773,0.0087637574699759,206,206,0.002588211626864527,0.004866764906331219,0.0022785532794666924,1.8803581808443661
vanilla,4,8,early,1.5299829025285088,1.0416406863786343,72,72,0.05351687758717252,0.08963488567104995,0.036118008083877426,1.6748900480048665
vanilla,4,8,late,0.32771142110370916,0.0007441701244977,221,221,0.0004691987362343585,0.00044891845639708427,-2.0280279837274246e-05,0.9567767807730315
vanilla,4,8,mid,0.6365931634096569,0.00787141542285715,255,255,0.002286218392332388,0.003701134790269635,0.001414916397937247,1.618889430109849
vanilla,6,4,early,2.257779283391188,3.3266973150176944,67,67,0.17032976839675637,0.24172465363639367,0.0713948852396373,1.4191568268520989
vanilla,6,4,late,0.7506011589363661,0.003739456236136,308,308,0.0017053644821394467,0.0031456112193537127,0.001440246737214266,1.8445389547502595
vanilla,6,4,mid,1.0599665055622147,0.06980928180093585,191,191,0.00974749567859691,0.021839379717668986,0.012091884039072076,2.2405118645625937
vanilla,6,6,early,2.190927858221184,3.185737549339585,66,66,0.14541434776630766,0.2258044140032603,0.08039006623695263,1.552834486223779
vanilla,6,6,late,0.650925048647394,0.00243101347183375,370,370,0.001308337183519507,0.002341377689666289,0.0010330405061467819,1.7895827766415993
vanilla,6,6,mid,1.044168541870236,0.03748215234223795,182,182,0.0060869132860974185,0.01607125349688657,0.009984340210789151,2.640296114221555
vanilla,6,8,early,2.104283838461102,2.199987920624541,63,63,0.10816148285493415,0.19529925693508646,0.0871377740801523,1.805626659140955
vanilla,6,8,late,0.602547008087698,0.0022296280061448,199,199,0.001515420890268882,0.0016122194574685565,9.679856719967453e-05,1.0638756980461708
vanilla,6,8,mid,1.0927096285263833,0.032421077858414554,227,227,0.006999054407475552,0.016266110355871007,0.009267055948395456,2.324043993499678
vanilla,8,4,early,2.550903884575314,5.377960765441124,54,54,0.2155310795079631,0.32481729352574945,0.10928621401778635,1.50705547555961
vanilla,8,4,late,0.732520132248442,0.0051407555037081,245,245,0.0020395171501114287,0.0028543249726383827,0.000814807822526954,1.3995101597858282
vanilla,8,4,mid,1.070737258907411,0.06685634613820629,197,197,0.010949502292900672,0.01908020351253317,0.008130701219632497,1.742563543267551
vanilla,8,6,early,2.3517463994316525,3.9191281038126715,40,40,0.211651590479091,0.24658240575681178,0.034930815277720795,1.1650392288508298
vanilla,8,6,late,0.7332469786403031,0.00412983347927735,251,251,0.0018495024512958295,0.0025811136525675307,0.0007316112012717012,1.395571901383049
vanilla,8,6,mid,1.102010983417675,0.0544040346590491,158,158,0.008428626608833341,0.0164404483143742,0.008011821705540859,1.9505488945428353
vanilla,8,8,early,2.239076656198374,2.707942340509819,46,46,0.13289334427255337,0.22927750132378075,0.09638415705122738,1.725274524309896
vanilla,8,8,late,0.7707769506501009,0.0018166762356311501,351,351,0.0014112874669498434,0.002331313397261234,0.0009200259303113907,1.651905406840893
vanilla,8,8,mid,1.0751467148317957,0.03038935188511005,261,261,0.006455104421053604,0.014473618193916475,0.008018513772862872,2.2421973758797984
vanilla,10,4,early,2.806469387644462,6.975052707742303,57,57,0.3112718176570883,0.40720438347993826,0.09593256582284998,1.3081954754045027
vanilla,10,4,late,0.7955702672957777,0.011932061259752502,301,301,0.003820565027310763,0.005885360422852613,0.00206479539554185,1.540442416444153
vanilla,10,4,mid,1.2632206755816537,0.1413679819454715,155,155,0.01627410342581808,0.028211503902227368,0.011937400476409288,1.733521237026869
vanilla,10,6,early,2.69208917223781,5.224286347704302,48,48,0.24510761198209471,0.3523023809697477,0.10719476898765298,1.4373375764253442
vanilla,10,6,late,0.8549899445350486,0.00335982215074005,329,329,0.0019364967940244545,0.003760317414131551,0.0018238206201070966,1.9418144278549552
vanilla,10,6,mid,1.2642622797905974,0.06490847576724815,191,191,0.009238107834841181,0.025184531234408735,0.015946423399567554,2.7261568802462133
vanilla,10,8,early,2.6473238207753074,4.06951255811769,42,42,0.20095679135350503,0.29330541118437736,0.09234861983087234,1.4595446573807052
vanilla,10,8,late,0.8013409504744643,0.0031005501870422,312,312,0.0016711248165520748,0.002798587456826146,0.001127462640274071,1.6746729083948935
vanilla,10,8,mid,1.1936672978904999,0.0418413787172809,182,182,0.010528411549774321,0.015847169572430903,0.005318758022656581,1.505181431929358
pcgrad,4,4,early,1.2424035223466177,3.6109322438872473,90,90,0.10445503448293228,0.08884928172209466,-0.015605752760837616,0.8505983666743457
pcgrad,4,4,late,1.0467069431321308,0.5350888520442934,385,385,0.008317167308224408,-0.026427083741833796,-0.034744251050058204,-3.1774139875365313
pcgrad,4,4,mid,0.6528747686196588,0.8622324534502499,370,370,0.012388706195680001,-0.028244415910734885,-0.040633122106414885,-2.279851944554456
pcgrad,4,6,early,1.086750765092693,4.586455610699362,84,84,0.0496777246778744,0.006370090848449142,-0.04330763382942526,0.12822831338904436
pcgrad,4,6,late,1.0190192834523968,3.3717758779281595,322,322,0.013480881009071508,-0.09154061914399571,-0.10502150015306722,-6.790403318773937
pcgrad,4,6,mid,1.0098913081451157,3.1285468679716364,381,381,0.0173610193473342,-0.0666522436074619,-0.08401326295479611,-3.839189524185192
pcgrad,4,8,early,1.2808308867275318,11.230025419881645,112,112,0.08461489028004299,-0.0301058047624759,-0.11472069504251889,-0.3557979530888379
pcgrad,4,8,late,1.271163402275099,14.057739338866382,372,372,0.03878502853820034,-0.09613819294191442,-0.13492322148011476,-2.478744932396415
pcgrad,4,8,mid,1.2133186965406297,14.45781090565066,348,348,0.04301765324829577,-0.11492866643551221,-0.15794631968380798,-2.6716628583188773
pcgrad,6,4,early,1.2965889384169156,5.754602842806431,50,50,0.15557585628167625,0.10492118100028375,-0.0506546752813925,0.6744052933915388
pcgrad,6,4,late,0.9643013476760038,1.1883645577212394,437,437,0.007727716351499243,-0.0182521195379347,-0.025979835889433943,-2.361903401694297
pcgrad,6,4,mid,0.7096900572678635,1.7313113292138955,403,403,0.01314620983284883,-0.03570365608051935,-0.04884986591336818,-2.715889715323541
pcgrad,6,6,early,1.2817076221997534,8.871699786308685,93,93,0.13694175192615668,0.03976237122734841,-0.09717938069880827,0.2903597381227424
pcgrad,6,6,late,1.2778390756381621,9.057849792079441,382,382,0.029436953365564456,-0.08165034492908445,-0.1110872982946489,-2.7737362598331785
pcgrad,6,6,mid,1.143849098030558,8.105851384289513,407,407,0.031108366866507257,-0.04660545065110891,-0.07771381751761616,-1.498164492244257
pcgrad,6,8,early,1.5999416564538402,17.957300020178057,115,115,0.15408083627602007,0.01588559586049109,-0.13819524041552897,0.10309910203260884
pcgrad,6,8,late,1.7607206559522441,26.409010613127997,422,422,0.038577135077476975,-0.09564990593288103,-0.134227041010358,-2.4794455508627347
pcgrad,6,8,mid,1.6266107076826053,24.16707886021529,435,435,0.04506396029137514,-0.08800572157174484,-0.13306968186312,-1.9529069571940927
pcgrad,8,4,early,1.4167325256982786,8.089091157279235,49,49,0.16488716192370242,0.11436544234720529,-0.050521719576497134,0.693598222038203
pcgrad,8,4,late,1.1070828030373068,2.457856697549537,403,403,0.010416466496584635,-0.03358606291229645,-0.04400252940888108,-3.224323999247604
pcgrad,8,4,mid,0.8805931465515644,2.457615111862093,368,368,0.016485212674859095,-0.045995220771450074,-0.06248043344630917,-2.7900896202325285
pcgrad,8,6,early,1.5627387722489532,11.52382958161601,91,91,0.16473848400365834,0.039093474014042076,-0.12564500998961625,0.23730626301729188
pcgrad,8,6,late,1.502378792871819,8.473225243717419,387,387,0.038231831003251254,-0.05631387822390809,-0.09454570922715935,-1.472957918733192
pcgrad,8,6,mid,1.4094613359243282,9.398004728777828,385,385,0.0494659623320978,-0.07976541135352028,-0.12923137368561807,-1.612531275910538
