n,d,g2_over_K,B_eff_t0,Q_t0
4,4,0.3082566962016703,0.8356879008887657,0.3309576715109125
4,6,0.32832379617202906,0.8394055720602489,0.32372097997919247
4,8,0.3107463505445989,0.8369445774469273,0.3197570911481294
6,4,0.2941017557085702,0.8503447935620863,0.30083333378015414
6,6,0.3074142776602167,0.8713958099361322,0.28926752440213305
6,8,0.24482743477090504,0.8155680128266223,0.271654009756466
8,4,0.33978577971924667,0.8832248431282892,0.31041680938113697
8,6,0.28690390225333606,0.848336366775516,0.27804107219111596
8,8,0.28442611711930704,0.8495771536352988,0.27449426397103766
10,4,0.30302147008804553,0.8544973595265888,0.30354037179376175
10,6,0.2676954390836905,0.8388915167509376,0.27583087890816615
10,8,0.24635795849673792,0.8360836434647955,0.2530509245437671
